authors,title,venue,pages,date
"謝念中、張欽宗、林俊良、林昱成","具拘束限制之多目標進化法則於輔助輕軌車懸吊系統之最佳化設計","機械技術雜誌","pp. 119-131","2004-01"
"詹弘雍、林俊良","認識生物演算法-DNA演算法則","自動控制","pp. 37-45","2003-01"
"劉通敏、林俊良","逢甲大學產學合作規劃與展望","九十年國科會工程處航太學門產學研討會","pp. 31-36","2001-01"
"林俊良、吳彥廷、洪旭寶","導控迴路即時模擬架構之建立","機電整合雜誌","pp. 76-84","2000-01"
"林俊良","認識基因演算法則與控制","自動控制","pp. 1-27","2000-01"
"林俊良","認識類神經網路與控制","自動控制","pp. 88-103","1999-01"
"林俊良","認識模糊邏輯與控制","自動控制","pp. 47-61","1998-01"
"林俊良","由中共導彈威脅談導控系統因應之道","自動控制","pp. 70-78","1996-01"
"梁厚芳、林俊良","增程攔截飛彈(ERINT)系統剖析","新新雙月刊","pp. 105-119","1995-01"
"林俊良","俟機而動的電腦病毒武器","國防譯粹月刊","pp. 94-100","1995-01"
"林俊良","數位化：優勢陸權之鑰","國防譯粹月刊","pp. 4-12","1995-01"
"林俊良","俄羅斯資訊時代的戰爭觀","國防譯粹月刊","pp. 43-51","1995-01"
"梁厚芳、林俊良","高層彈道飛彈防禦的主力－THAAD計畫","新新雙月刊","pp. 182-191","1995-01"
"林俊良","動態系統數值模擬之誤差與修正","新新雙月刊","pp. 132-142","1994-01"
"林俊良","蓬勃發展中的反戰術性彈道飛彈","新新雙月刊","pp. 149-153","1994-01"
"林俊良","先進之美國海軍指管系統","國防譯粹月刊","pp. 88-93","1994-01"
"林俊良","美國陸軍自動化之道","國防譯粹月刊","pp. 95-100","1994-01"
"林俊良","中共凱山一號飛彈系統簡介","新新雙月刊","pp. 82-88","1993-01"
"V.T. Liu and C.L. Lin","Robustness of vibratory control systems using mode residualization or mode truncation","雲林工專學報","pp. 193-228","1993-01"
"C. L. Lin and V. T. Liu","Stabilization of flexible systems under a certain class of nonlinear feedback control","雲林工專學報","pp. 155-192","1993-01"
