authors,title,venue,date
"林俊良","基因網路的狀態估測及控制","國科會研究成果報告","2010-01"
"林俊良","基因網路的狀態估測及控制","國科會研究成果報告","2010-01"
"林俊良, 林育平, 黃俊瑋","中高層飛彈導引律設計與分析(Ⅱ)","中山科學研究院委託學術合作研究計畫","2009-01"
"林俊良, 林育平, 李雲皓","中高層飛彈導引律設計與分析","中山科學研究院委託學術合作研究計畫","2008-01"
"林俊良","太陽能冷凍空調系統之最佳節能設計","國科會研究成果報告","2007-01"
"林俊良","以背景知識為基礎的智慧型無人飛行載具導航設計","國科會研究成果報告","2007-01"
"林俊良","融合式定位演算法技術評估","工研院委託研究成果報告","2007-01"
"林俊良","電動機車性能及效能改進","國科會研究成果報告","2006-01"
"林俊良","一種以分子活動為基礎的系統鑑別法","國科會研究成果報告","2006-01"
"林俊良","整合型多工數位驅動器控制器設計","中科院分包學界成果報告","2005-01"
"林俊良","Development of an Integrated Fuzzy-Logic-Based Missile Guidance Law against High Speed Target (3/3)","國科會研究成果報告","2004-01"
"林俊良","前瞻性數位化伺服電路控制迴路分析設計","中科院分包學界成果報告","2004-01"
"黃榮興、林俊良","TTP/C測試功能評估計畫","工研院航研究成果報告","2003-01"
"林俊良","反飛彈導引律設計與鼻錐罩斜率誤差之估測","國推會研究成果報告","2003-01"
"劉永生、林俊良","輕軌車結構疲勞分析與振動抑制","中科院軍民通用科技轉委託合作計畫研究成果報告","2003-01"
"林俊良","Development of an Integrated Fuzzy-Logic-Based Missile Guidance Law against High Speed Target (2/3)","國科會研究成果報告","2003-01"
"林俊良","反飛彈導引律設計與鼻錐罩斜率誤差之估測","國推會研究成果報告","2003-01"
"黃榮興、林俊良","TTP/C測試弁鉞繾p畫","工研院航研究成果報告","2003-01"
"林俊良","Development of an Integrated Fuzzy-Logic-Based Missile Guidance Law against High Speed Target (1/3)","國科會研究成果報告","2002-01"
"林俊良","線性馬達為基礎之高速動態平台控設計及模擬","科會大專生專題計畫研究成果報告","2002-01"
